date,watch,working,games,video games,can't sleep,isPartial
2004-01-01,6,5,65,2,0,False
2004-02-01,6,5,64,1,0,True
2004-03-01,6,4,67,2,0,True
2004-04-01,6,4,64,1,0,False
2004-05-01,6,4,63,1,0,True
2004-06-01,6,4,66,1,0,False
2004-07-01,6,4,63,1,0,False
2004-08-01,6,4,65,1,0,False
2004-09-01,8,5,59,1,0,False
2004-10-01,6,5,65,2,0,False
2004-11-01,6,5,68,2,0,False
2004-12-01,7,4,79,2,0,False
2005-01-01,6,5,65,1,0,False
2005-02-01,6,5,64,1,0,False
2005-03-01,6,5,68,2,0,False
2005-04-01,6,4,67,1,0,False
2005-05-01,6,4,66,1,0,False
2005-06-01,6,4,71,1,0,False
2005-07-01,6,4,70,1,0,False
2005-08-01,6,4,71,1,0,False
2005-09-01,7,4,61,1,0,False
2005-10-01,6,5,66,1,0,False
2005-11-01,6,4,71,2,0,False
2005-12-01,7,4,86,2,0,False
2006-01-01,6,5,70,1,0,False
2006-02-01,6,5,87,2,0,False
2006-03-01,6,4,75,1,0,False
2006-04-01,6,4,72,1,0,False
2006-05-01,6,4,70,1,0,False
2006-06-01,7,4,77,1,0,False
2006-07-01,6,4,73,1,0,False
2006-08-01,6,4,70,1,0,False
2006-09-01,6,4,68,2,0,False
2006-10-01,6,4,73,2,0,False
2006-11-01,7,4,80,2,0,False
2006-12-01,8,4,94,2,0,False
2007-01-01,8,4,75,2,0,False
2007-02-01,9,4,80,1,0,False
2007-03-01,9,4,80,1,0,False
2007-04-01,9,4,78,1,0,False
2007-05-01,10,5,76,1,0,False
2007-06-01,11,5,84,1,0,False
2007-07-01,11,5,82,1,0,False
2007-08-01,13,5,78,1,0,False
2007-09-01,12,5,75,1,0,False
2007-10-01,14,5,78,1,0,False
2007-11-01,16,5,83,2,0,False
2007-12-01,19,5,100,2,0,False
2008-01-01,18,5,78,1,0,False
2008-02-01,20,5,80,1,0,False
2008-03-01,20,5,84,1,0,False
2008-04-01,19,5,75,1,0,False
2008-05-01,22,5,76,1,0,False
2008-06-01,24,5,82,1,0,False
2008-07-01,24,6,78,1,0,False
2008-08-01,26,5,100,1,0,False
2008-09-01,25,6,71,1,0,False
2008-10-01,27,6,77,1,0,False
2008-11-01,31,5,86,2,0,False
2008-12-01,31,5,96,2,0,False
2009-01-01,32,6,79,1,0,False
2009-02-01,33,6,77,1,0,False
2009-03-01,30,6,78,1,0,False
2009-04-01,31,6,80,1,0,False
2009-05-01,30,6,81,1,0,False
2009-06-01,29,6,83,1,0,False
2009-07-01,32,6,81,1,0,False
2009-08-01,33,5,81,1,0,False
2009-09-01,31,6,72,1,0,False
2009-10-01,35,6,80,1,0,False
2009-11-01,38,6,86,2,0,False
2009-12-01,39,6,99,2,0,False
2010-01-01,38,6,83,1,0,False
2010-02-01,39,6,86,1,0,False
2010-03-01,39,6,79,1,0,False
2010-04-01,40,6,74,1,0,False
2010-05-01,42,6,77,1,0,False
2010-06-01,43,6,78,1,0,False
2010-07-01,48,7,70,1,0,False
2010-08-01,42,7,67,1,0,False
2010-09-01,39,7,63,1,0,False
2010-10-01,40,6,70,1,0,False
2010-11-01,39,7,73,1,0,False
2010-12-01,42,7,84,1,0,False
2011-01-01,43,7,71,1,0,False
2011-02-01,45,7,75,1,0,False
2011-03-01,40,7,69,1,0,False
2011-04-01,42,7,66,1,0,False
2011-05-01,42,7,64,1,0,False
2011-06-01,43,7,68,1,0,False
2011-07-01,44,7,64,1,0,False
2011-08-01,49,7,64,1,0,False
2011-09-01,46,7,60,1,0,False
2011-10-01,45,8,64,1,0,False
2011-11-01,44,7,67,1,0,False
2011-12-01,45,7,75,1,0,False
2012-01-01,45,8,65,1,0,False
2012-02-01,43,8,66,1,0,False
2012-03-01,40,7,75,1,0,False
2012-04-01,40,7,66,1,0,False
2012-05-01,36,8,58,1,0,False
2012-06-01,40,7,61,1,0,False
2012-07-01,42,8,58,1,0,False
2012-08-01,40,8,59,1,0,False
2012-09-01,38,8,50,1,0,False
2012-10-01,41,8,51,1,0,False
2012-11-01,42,8,55,1,0,False
2012-12-01,44,8,63,1,0,False
2013-01-01,41,8,54,1,0,False
2013-02-01,42,8,52,1,0,False
2013-03-01,41,8,51,1,0,False
2013-04-01,38,8,47,1,0,False
2013-05-01,37,8,47,1,0,False
2013-06-01,39,8,50,1,0,False
2013-07-01,42,9,44,1,0,False
2013-08-01,42,8,43,1,0,False
2013-09-01,40,9,41,1,0,False
2013-10-01,42,10,44,1,0,False
2013-11-01,43,9,53,1,0,False
2013-12-01,46,9,59,1,0,False
2014-01-01,46,10,49,1,0,False
2014-02-01,46,9,50,1,0,False
2014-03-01,46,9,47,1,0,False
2014-04-01,44,9,42,1,0,False
2014-05-01,43,9,43,1,0,False
2014-06-01,43,9,46,1,0,False
2014-07-01,41,9,43,1,0,False
2014-08-01,40,9,39,1,0,False
2014-09-01,38,9,39,1,0,False
2014-10-01,40,10,42,1,0,False
2014-11-01,41,10,48,1,0,False
2014-12-01,44,10,52,1,0,False
2015-01-01,40,10,45,1,0,False
2015-02-01,41,10,45,1,0,False
2015-03-01,41,10,43,1,0,False
2015-04-01,39,10,41,1,0,False
2015-05-01,36,9,40,1,0,False
